CT_TYPE,CC_CODE,CC_DESC_AR,CC_DESC_EN,COMMODTIY_TYPE,COMMODTIY_CODE,COMM_NAME_AR,COMM_NAME_EN,2023,2024
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7095100,فطر من جنس أجاريكوس,Mushrooms of the genus Agaricus,113.0,2588474.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7095910,كمأ (فقع),Truffles,877500.0,193750.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7095990,غيرها من فطر وكمأ طازج أو مبرد,"Other mushroom and truffles, fresh or chilled",2468006.0,4483183.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7096000,أثمار من جنس كابسيكوم أو من جنس بيمنتا (فليفلة أو فلفل),"FRUITS OF THE GENUS CAPSICUM OR PIMENTA, FRESH",7665941.0,11063627.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7099100,غيرها من خضروات طازجه,"OTHER VEGETABLES, FRESH",3600.0,
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7099200,زيتون طازج,"OLIVES, FRESH",,15.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7099300,قرع(يقطين )ـ طازج,"PUMPKINS, FRESH",5250.0,1146312.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7099910,كوسه طازجه,"MARROW, FRESH",2825333.0,4127438.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7099920,باميا طازجه,"OKRA, FRESH",2293745.0,1849832.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7099930,بقدونس، طازج,"PARSLEY, FRESH",7195108.0,10996979.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7099940,كزبره طازجه,"CORIANDER, FRESH",9310834.0,12697589.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7099990,غيرهامن خضروات  طازجه,"OTHER VEGETABLES, FRESH",1309439.0,33175.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7131000,بازيلاء(بيسوم ساتيفوم)ـ,"PEAS, DRIED",2422990.0,424076.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7132000,حمص، مجفف,"CHICKPEAS, DRIED",3287929.0,3873119.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7133120,فاصوليا للطعام يابسه,"BEANS FOR FOOD, DRIED",1869473.0,4057821.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7133220,فاصوليا حمراء للطعام يابسه,"RED BEANS FOR FOOD, DRIED",2002093.0,3121763.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7133320,لوبيا للطعام يابسه,"KIDNEY BEANS FOR FOOD, DRIED",250742.0,1126640.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7133420,لوبياء وفاصوليا بامبارا للطعام ,"OTHER BEANS, DRIED",,23440.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7133900,غيرها من لوبيا ( فيجيا انجو يكيولاتا ) ,"OTHER BEANS, DRIED",49561.0,612543.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7134000,عدس،  مجفف,"LENTILS, DRIED",963016.0,1600412.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7135000,فول مدمس،,"BROAD BEANS, DRIED",282318.0,402722.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7139010,فاصوليا المنغ  ماش,"MUNG BEANS, DRIED",35019.0,3195.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7139090,غيرها من خضروات بقليه جافه,OTHER DRIED LEGUMINOUS VEGETABLES,,8652.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7142000,بطاطا حلوه,SWEET POTATOES,283780.0,253963.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7144000,غيرها من جذور ودرنات,OTHER ROOTS AND TUBERS,13326.0,221570.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7149020,قلقاس، رومى,JERUSALEM ARTICHOKES,11098.0,49154.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7149090,غيرها من جذور ودرنات,OTHER ROOTS AND TUBERS,68000.0,106165.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,8011200,"جوزهندغيرمجفف ,",WET COCONUT,134070.0,91986.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,8011900,"غيرها من جوزهندغيرمجفف ,",WET COCONUT,735169.0,378326.0
