CT_TYPE,CC_CODE,CC_DESC_AR,CC_DESC_EN,COMMODTIY_TYPE,COMMODTIY_CODE,COMM_NAME_AR,COMM_NAME_EN,2023,2024,Growth,Share
ISI4,26.0,صُنع الحواسيب والمنتجات الإلكترونية والبصرية,"Manufacture of computer, electronic and optical products",H,85258220.0,كاميرات رقمية للصور الثابتة مقاومة أو متحملة للإشعاع,Radiation hardened or tolerant digital cameras,743847.0,29181.0,-0.9607701583793441,3.3425215899545134e-08
ISI4,10.0,صُنع المنتجات الغذائية,Manufacture of food products,H,3069300.0,سرطانات؛ مجففة أو مملحة أو مدخنة أو مطبوخة أو مسلوقة,"Dried, salted or in brine, smoked or cooked Crabs",743189.0,391837.0,-0.4727626485322038,4.4882753580857636e-07
ISI4,26.0,صُنع الحواسيب والمنتجات الإلكترونية والبصرية,"Manufacture of computer, electronic and optical products",H,85258230.0,كاميرات تلفزيونية فقط للمراقبة الأمنية مقاومة أو متحملة للإشعاع,Radiation hardened or tolerant security surveillance TV cameras,741898.0,,-1.0,0.0
ISI4,13.0,صُنع المنسوجات,Manufacture of textiles,H,57024190.0,غيرها من سجاد ، من صوف ، او وبر ناعم مخمليه ، جاهزه,"OTHER CARPETS, WOOL, PILE, MADE UP",739814.0,2636113.0,2.5632104826348243,3.019521132264063e-06
ISI4,13.0,صُنع المنسوجات,Manufacture of textiles,H,60062300.0,اقمشة مصنرة او كروشية اخر من قطن من خيوط الوان,OTHER KNITTED OR CROCHETED TEXTILES FROM COTTON,737350.0,354728.0,-0.5189150335661491,4.0632123592796153e-07
ISI4,1.0,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,12099130.0,بذور فجل,RADISH SEEDS,736195.0,713150.0,-0.03130284775093555,8.168737438319664e-07
ISI4,23.0,صُنع منتجات المعادن اللافلزية الأخرى,Manufacture of other non-metallic mineral products,H,70042000.0,"زجاج مسحوب اومنفوخ ,ملون","DRAWN OR BLOWN GLASS, COLORED",735983.0,271335.0,-0.6313297997372221,3.107991828965107e-07
ISI4,14.0,صُنع الملبوسات,Manufacture of wearing apparel,H,61043100.0,جاكيتات مصنره للنساء اوالبنات من صوف او وبر ناعم,KNITTED FEMALE JACKETS OF WOOL,733671.0,678996.0,-0.07452250395613293,7.777522324432867e-07
ISI4,30.0,صُنع معدات النقل الأخرى,Manufacture of other transport equipment,H,87119000.0,مركبات جانبيه ومايماثلها للدراجات الناريه,SIDECARS AND THE LIKE OF MOTORCYCLES CYCLES,733186.0,3160565.0,3.310727427965073,3.6202517901903932e-06
ISI4,31.0,صُنع الأثاث,Manufacture of furniture,H,94015200.0,من بوص هندي (بامبوأو خيزران),Of bamboo,731041.0,1165104.0,0.593760131100718,1.334561966533828e-06
ISI4,26.0,صُنع الحواسيب والمنتجات الإلكترونية والبصرية,"Manufacture of computer, electronic and optical products",H,85258290.0,كاميرات مقاومة أو متحملة للإشعاع غير مذكورة في مكان آخر,Radiation hardened or tolerant cameras not elsewhere specified,730380.0,3961325.0,4.423649333223802,4.537477926502369e-06
ISI4,10.0,صُنع المنتجات الغذائية,Manufacture of food products,H,20086090.0,غيرها من كرز,Other than Cherry,730079.0,408430.0,-0.4405673906522445,4.6783389636582773e-07
ISI4,28.0,صُنع الآلات والمعدات غير المصنّفة في موضع آخر,Manufacture of machinery and equipment n.e.c.,H,88052100.0,اجهزه تشبيهية للمعارك الجوية واجزاؤها,AIRCRAFT LAUNCHING GEAR AND PARTS,728558.0,6615938.0,8.080866588521436,7.5781897819815916e-06
ISI4,25.0,صُنع منتجات المعادن المشكَّلة، باستثناء الآلات والمعدات,"Manufacture of fabricated metal products, except machinery and equipment",H,84803010.0,نماذج قولبه لصب المعادن وغيرهامن خشب او حديد,MOLDING PATTERNS OF WOOD OR IRON,727366.0,579235.0,-0.20365400637368258,6.634815438666607e-07
ISI4,20.0,صُنع المواد الكيميائية والمنتجات الكيميائية,Manufacture of chemicals and chemical products,H,54033100.0,خيوط غزل من حرير فسكوز ، غير مفتوله ، مفرده,"VISCOSE RAYON, UNTWISTED, SINGLE",726353.0,637224.0,-0.12270755404052851,7.299047248679534e-07
ISI4,20.0,صُنع المواد الكيميائية والمنتجات الكيميائية,Manufacture of chemicals and chemical products,H,31049010.0,سلفات مزدوجه من المغنزيوم والبوتاسيوم,MAGNESIUM AND POTASSIUM BI-SULPHATE,725850.0,693047.0,-0.045192532892470896,7.938468730863252e-07
